time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-01 00:00:00+00:00,22,7,0,0
2026-05-02 00:00:00+00:00,19,9,0,0
2026-05-03 00:00:00+00:00,30,10,0,0
2026-05-04 00:00:00+00:00,31,9,8,1
2026-05-05 00:00:00+00:00,30,9,3,2
2026-05-06 00:00:00+00:00,14,8,0,0
2026-05-07 00:00:00+00:00,27,10,0,0
2026-05-08 00:00:00+00:00,3,3,0,0
2026-05-09 00:00:00+00:00,21,7,0,0
2026-05-10 00:00:00+00:00,30,9,0,0
2026-05-11 00:00:00+00:00,1,1,0,0
2026-05-12 00:00:00+00:00,8,3,20,3
2026-05-13 00:00:00+00:00,21,6,0,0
2026-05-14 00:00:00+00:00,27,7,9,2
